,Ticker,Quarter,Analyst,WeightTechnical
0,APA,2018 q1,Scott M. Hanold,0.0
1,APA,2018 q1,Stewart Glickman,0.0
3,APA,2018 q1,Ms. Gail A. Nicholson,0.0
4,APA,2018 q1,"Mr. Michael J. McAllister, Jr",0.0
6,APA,2018 q1,Mr. Paul B. Sankey,0.0
7,APA,2018 q1,Mr. Doug G. Leggate,0.026574831145505108
9,APA,2018 q1,"Charles Robertson, CFA",0.0
10,APA,2018 q1,"Mr. John P. Herrlin, Jr",0.011267242021858692
13,APA,2018 q1,William Featherston,0.0
15,CXO,2018 q1,Mr. Doug G. Leggate,0.005212914664298296
16,CXO,2018 q1,"Mark Lear, CFA",0.01598178967833519
17,CXO,2018 q1,CFRA Research,0.0
19,CXO,2018 q1,SADIF Research,0.9627892374992371
20,CXO,2018 q1,Mr. David W. Kistler,0.0
22,CXO,2018 q1,Stewart Glickman,0.0
24,CXO,2018 q1,"Mr. Michael J. McAllister, Jr",0.0
25,CXO,2018 q1,Scott M. Hanold,0.04591639060527086
26,CXO,2018 q1,"Mr. Nitin Kumar, CFA",0.007522365543991327
32,CXO,2018 q1,Mr. Daniel Lungo,0.024136532098054886
33,HES,2018 q1,"Mr. Paul Y. Cheng, CFA",0.0038226361696918807
34,HES,2018 q1,William Featherston,0.0
35,HES,2018 q1,Stewart Glickman,0.0
37,HES,2018 q1,"Mr. Michael J. McAllister, Jr",0.030598947778344154
38,HES,2018 q1,"Mr. Dave Meats, CFA",0.0
40,HES,2018 q1,Mr. Paul B. Sankey,0.0
41,HES,2018 q1,"Mr. Guy Baber, IV",0.0
42,HES,2018 q1,Mr. Doug G. Leggate,0.0
45,HES,2018 q1,"Charles Robertson, CFA",0.0
47,HES,2018 q1,"Mr. John P. Herrlin, Jr",0.0
53,NBL,2018 q1,CFRA Research,0.0
54,NBL,2018 q1,Mr. David W. Kistler,0.0
55,NBL,2018 q1,Stewart Glickman,0.0
56,NBL,2018 q1,Scott M. Hanold,0.012952163815498352
57,NBL,2018 q1,Irene Haas,0.0
59,NBL,2018 q1,Ms. Gail A. Nicholson,0.0
60,NBL,2018 q1,"Mr. Michael J. McAllister, Jr",0.0
61,NBL,2018 q1,Ryan Todd,0.0
62,NBL,2018 q1,"Mark Lear, CFA",0.0
63,NBL,2018 q1,Mr. Doug G. Leggate,0.0
64,NBL,2018 q1,Mr. Paul B. Sankey,0.0
69,NBL,2018 q1,William Featherston,0.0
70,NBL,2018 q1,Mr. Stephen Richardson,0.0
71,NBL,2018 q1,"Mr. John P. Herrlin, Jr",0.0
73,NBL,2018 q1,"Mr. Dave Meats, CFA",0.0
74,OXY,2018 q1,Ryan Todd,0.0
75,OXY,2018 q1,Stewart Glickman,0.0
78,OXY,2018 q1,"Mr. Michael J. McAllister, Jr",0.0
80,OXY,2018 q1,Mr. Paul B. Sankey,0.0
81,OXY,2018 q1,Mr. Doug G. Leggate,0.049339720979332924
82,OXY,2018 q1,"Mr. John P. Herrlin, Jr",0.0
83,OXY,2018 q1,"Thomas R. Driscoll, CFA",0.011045277118682861
84,OXY,2018 q1,"Mr. Dave Meats, CFA",0.0
86,PXD,2018 q1,"Mr. Michael J. McAllister, Jr",0.0
87,PXD,2018 q1,Stewart Glickman,0.0
90,PXD,2018 q1,Mr. Leo P. Mariani,0.0
91,PXD,2018 q1,Irene Haas,0.0
93,PXD,2018 q1,Mr. Paul B. Sankey,0.0
94,PXD,2018 q1,"Mark Lear, CFA",0.0
96,PXD,2018 q1,William Featherston,0.0
97,PXD,2018 q1,Scott M. Hanold,0.0
100,PXD,2018 q1,"Mr. John P. Herrlin, Jr",0.0
101,PXD,2018 q1,SADIF Research,0.8903470039367676
102,PXD,2018 q1,Mr. David W. Kistler,0.0
104,COG,2018 q1,Jeffrey Stafford,0.02241739568610986
105,COG,2018 q1,Mr. Leo P. Mariani,0.0
106,COG,2018 q1,SADIF Research,0.8860458135604858
107,COG,2018 q1,CFRA Research,0.0
