,Industry,Industry name,Top Topic,Topic,words,Loading
0,1010,Energy,First Topic,Topic 12,"[('oil', 0.03320186), ('product', 0.026501039), ('ga', 0.02250326), ('capit', 0.015031225), ('cash', 0.012281572), ('project', 0.011755778), ('expect', 0.011614355), ('capital-expenditure', 0.0112793585), ('natur', 0.010759463), ('rig', 0.010598601)]",0.38927541971206664
1,1010,Energy,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.14203856512904164
2,1510,Materials,First Topic,Topic 41,"[('product', 0.02807521), ('cost', 0.017274346), ('ebitda', 0.01704186), ('volum', 0.015178679), ('materi', 0.01384381), ('chemic', 0.013531669), ('segment', 0.013283004), ('industri', 0.01291068), ('packag', 0.011726783), ('specialti', 0.010553223)]",0.17378802597522736
3,1510,Materials,Second Topic,Topic 10,"[('product', 0.030388584), ('cost', 0.01629767), ('demand', 0.01502526), ('mine', 0.014607368), ('crop', 0.013932843), ('expect', 0.011742869), ('volum', 0.010728117), ('copper', 0.010504483), ('produc', 0.009965409), ('gold', 0.009657279)]",0.13806757256388663
4,2010,Capital Goods,First Topic,Topic 42,"[('industri', 0.021948786), ('segment', 0.019861925), ('ge', 0.019078353), ('product', 0.015394635), ('power', 0.01422438), ('technolog', 0.013129332), ('organ', 0.012275662), ('system', 0.012157182), ('engin', 0.012107457), ('sale', 0.012021755)]",0.1422591030597687
5,2010,Capital Goods,Second Topic,Topic 15,"[('growth', 0.03356535), ('sale', 0.028466273), ('product', 0.0227685), ('market', 0.017004665), ('industri', 0.014569362), ('expect', 0.013600659), ('segment', 0.0118065), ('margin', 0.011512924), ('revenu', 0.011440421), ('share', 0.010730639)]",0.12864179164171216
6,2020,Commercial and Professional Services,First Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.19975863248109815
7,2020,Commercial and Professional Services,Second Topic,Topic 6,"[('growth', 0.046914466), ('revenu', 0.038520914), ('expect', 0.03227167), ('margin', 0.027406385), ('quarter', 0.024326649), ('oper', 0.019105079), ('continu', 0.015381847), ('consensu', 0.014432223), ('adjust', 0.01381928), ('manag', 0.013290111)]",0.08954986259341238
8,2030,Transportation,First Topic,Topic 59,"[('volum', 0.020890107), ('revenu', 0.020774208), ('oper', 0.01962079), ('freight', 0.015490625), ('improv', 0.013748979), ('rail', 0.013416166), ('expect', 0.010869807), ('transport', 0.010668816), ('fuel', 0.010445603), ('truck', 0.010295128)]",0.22383931428194043
9,2030,Transportation,Second Topic,Topic 49,"[('share', 0.02518648), ('return', 0.021979932), ('earn', 0.016599372), ('equiti', 0.016086165), ('perform', 0.013740237), ('stock', 0.012821753), ('market', 0.012519974), ('capit', 0.012459455), ('oper', 0.012442886), ('futur', 0.011733301)]",0.15064707621932028
