,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,CHD,2018 q2,3030,0.5994444286507189,Erin Lash,0.667627427771947,female,"Morningstar, Inc."
1,CL,2018 q2,3030,0.5894232922380483,Erin Lash,0.7087678965490432,female,"Morningstar, Inc."
2,CLX,2018 q2,3030,0.673543084351846,Erin Lash,0.7648209567861035,female,"Morningstar, Inc."
3,KMB,2018 q2,3030,0.6539340040392863,Erin Lash,0.7976713285213392,female,"Morningstar, Inc."
4,PG,2018 q2,3030,0.5198675525023131,Erin Lash,0.6412898738638312,female,"Morningstar, Inc."
5,CHD,2018 q2,3030,0.5994444286507189,"Mr. William B. Chappell, CFA",0.6313546834539503,male,SunTrust Robinson Humphrey Capital Markets
6,CL,2018 q2,3030,0.5894232922380483,"Mr. William B. Chappell, CFA",0.38753213031905526,male,SunTrust Robinson Humphrey Capital Markets
7,PG,2018 q2,3030,0.5198675525023131,"Mr. William B. Chappell, CFA",0.1957032920462169,male,SunTrust Robinson Humphrey Capital Markets
8,CHD,2018 q2,3030,0.5994444286507189,Mr. Keith Snyder,0.7344313288494179,male,CFRA Equity Research
9,CL,2018 q2,3030,0.5894232922380483,Mr. Keith Snyder,0.7729361117819081,male,CFRA Equity Research
10,CLX,2018 q2,3030,0.673543084351846,Mr. Keith Snyder,0.7261835551261223,male,CFRA Equity Research
11,KMB,2018 q2,3030,0.6539340040392863,Mr. Keith Snyder,0.7742391780565001,male,CFRA Equity Research
12,PG,2018 q2,3030,0.5198675525023131,Mr. Keith Snyder,0.6044229001426682,male,CFRA Equity Research
13,CHD,2018 q2,3030,0.5994444286507189,Mr. Steve Powers,0.4456507811749154,male,Deutsche Bank
14,CL,2018 q2,3030,0.5894232922380483,Mr. Steve Powers,0.8965794979104881,male,Deutsche Bank
15,CLX,2018 q2,3030,0.673543084351846,Mr. Steve Powers,0.8866567352439678,male,Deutsche Bank
16,EI,2018 q2,3030,0.537774208747676,Mr. Steve Powers,0.3415212723578027,male,Deutsche Bank
17,KMB,2018 q2,3030,0.6539340040392863,Mr. Steve Powers,0.8873063259644222,male,Deutsche Bank
18,PG,2018 q2,3030,0.5198675525023131,Mr. Steve Powers,0.6576092032719748,male,Deutsche Bank
19,CHD,2018 q2,3030,0.5994444286507189,"Olivia Tong, CFA",0.31719443036542716,female,BofA Global Research
20,CL,2018 q2,3030,0.5894232922380483,"Olivia Tong, CFA",0.25465239611064044,female,BofA Global Research
21,CLX,2018 q2,3030,0.673543084351846,"Olivia Tong, CFA",0.44819053933355424,female,BofA Global Research
22,COTY,2018 q2,3030,0.7457583940524827,"Olivia Tong, CFA",0.5000363897168366,female,BofA Global Research
23,EI,2018 q2,3030,0.537774208747676,"Olivia Tong, CFA",0.5117501867690147,female,BofA Global Research
24,KMB,2018 q2,3030,0.6539340040392863,"Olivia Tong, CFA",0.3845062788100189,female,BofA Global Research
25,CHD,2018 q2,3030,0.5994444286507189,Mr. Rupesh Parikh,0.26743286639137404,male,"Oppenheimer & Co., Inc."
26,EI,2018 q2,3030,0.537774208747676,Mr. Rupesh Parikh,0.26710879363752726,male,"Oppenheimer & Co., Inc."
27,CHD,2018 q2,3030,0.5994444286507189,SADIF Research,0.9790007100213068,Not a person,Sadif Analytics Prime
28,CHD,2018 q2,3030,0.5994444286507189,"Mr. Dara W. Mohsenian, CFA",0.2572584372853335,male,Morgan Stanley
29,CL,2018 q2,3030,0.5894232922380483,"Mr. Dara W. Mohsenian, CFA",0.2664407382877346,male,Morgan Stanley
30,CLX,2018 q2,3030,0.673543084351846,"Mr. Dara W. Mohsenian, CFA",0.5278081561551498,male,Morgan Stanley
31,COTY,2018 q2,3030,0.7457583940524827,"Mr. Dara W. Mohsenian, CFA",0.6081440279534642,male,Morgan Stanley
32,EI,2018 q2,3030,0.537774208747676,"Mr. Dara W. Mohsenian, CFA",0.31654847212279535,male,Morgan Stanley
33,KMB,2018 q2,3030,0.6539340040392863,"Mr. Dara W. Mohsenian, CFA",0.20667748264247732,male,Morgan Stanley
34,PG,2018 q2,3030,0.5198675525023131,"Mr. Dara W. Mohsenian, CFA",0.2650292370737416,male,Morgan Stanley
35,CHD,2018 q2,3030,0.5994444286507189,Mr. Nik Modi,0.18567374174160206,male,RBC Capital Markets
36,CL,2018 q2,3030,0.5894232922380483,Mr. Nik Modi,0.20594064349824925,male,RBC Capital Markets
37,CLX,2018 q2,3030,0.673543084351846,Mr. Nik Modi,0.31982048084892284,male,RBC Capital Markets
38,EI,2018 q2,3030,0.537774208747676,Mr. Nik Modi,0.3096213451888448,male,RBC Capital Markets
39,KMB,2018 q2,3030,0.6539340040392863,Mr. Nik Modi,0.2842989217366267,male,RBC Capital Markets
40,PG,2018 q2,3030,0.5198675525023131,Mr. Nik Modi,0.18004340254470902,male,RBC Capital Markets
41,CHD,2018 q2,3030,0.5994444286507189,"Kevin M. Grundy, CPA",0.20357711313058943,male,Jefferies
42,CL,2018 q2,3030,0.5894232922380483,"Kevin M. Grundy, CPA",0.3286121427062961,male,Jefferies
43,CLX,2018 q2,3030,0.673543084351846,"Kevin M. Grundy, CPA",0.30907888163948144,male,Jefferies
44,KMB,2018 q2,3030,0.6539340040392863,"Kevin M. Grundy, CPA",0.33192795500969835,male,Jefferies
45,PG,2018 q2,3030,0.5198675525023131,"Kevin M. Grundy, CPA",0.26422883187014673,male,Jefferies
46,CHD,2018 q2,3030,0.5994444286507189,Ms. Lauren R. Lieberman,0.19974168269892875,female,Barclays
47,CL,2018 q2,3030,0.5894232922380483,Ms. Lauren R. Lieberman,0.17845069542647854,female,Barclays
48,CLX,2018 q2,3030,0.673543084351846,Ms. Lauren R. Lieberman,0.42536656816418594,female,Barclays
49,COTY,2018 q2,3030,0.7457583940524827,Ms. Lauren R. Lieberman,0.48590139521503856,female,Barclays
50,EI,2018 q2,3030,0.537774208747676,Ms. Lauren R. Lieberman,0.3415212723578027,female,Barclays
51,KMB,2018 q2,3030,0.6539340040392863,Ms. Lauren R. Lieberman,0.37308781607404906,female,Barclays
52,PG,2018 q2,3030,0.5198675525023131,Ms. Lauren R. Lieberman,0.3003994056303973,female,Barclays
53,CL,2018 q2,3030,0.5894232922380483,Jeffrey P. Stent,0.1760211214604095,male,Exane BNP Paribas
54,PG,2018 q2,3030,0.5198675525023131,Jeffrey P. Stent,0.10771575636433792,male,Exane BNP Paribas
55,CL,2018 q2,3030,0.5894232922380483,Mr. Iain E. Simpson,0.6120249624606745,male,Societe Generale
56,KMB,2018 q2,3030,0.6539340040392863,Mr. Iain E. Simpson,0.6204838067234132,male,Societe Generale
57,COTY,2018 q2,3030,0.7457583940524827,Ms. Rosie Edwards,0.6050211279649698,female,Berenberg
58,PG,2018 q2,3030,0.5198675525023131,Ms. Rosie Edwards,0.12781894253052037,female,Berenberg
59,COTY,2018 q2,3030,0.7457583940524827,Joseph Agnese,0.9156843639663055,male,CFRA Equity Research
60,EI,2018 q2,3030,0.537774208747676,Joseph Agnese,0.3415212723578027,male,CFRA Equity Research
61,COTY,2018 q2,3030,0.7457583940524827,Ms. Faiza Alwy,0.5159827114021427,female,Deutsche Bank
62,COTY,2018 q2,3030,0.7457583940524827,Chas Manso,0.7840314499462538,male,Societe Generale
63,EI,2018 q2,3030,0.537774208747676,Chas Manso,0.3415212723578027,male,Societe Generale
64,PG,2018 q2,3030,0.5198675525023131,Chas Manso,0.7763923806517475,male,Societe Generale
65,COTY,2018 q2,3030,0.7457583940524827,Ms. Stephanie S. Wissink,0.4031406408358309,female,Jefferies
66,EI,2018 q2,3030,0.537774208747676,Ms. Stephanie S. Wissink,0.34134130191938966,female,Jefferies
67,COTY,2018 q2,3030,0.7457583940524827,Mr. Sonia Vora,0.7807616442408485,male,"Morningstar, Inc."
68,EI,2018 q2,3030,0.537774208747676,Mr. Sonia Vora,0.5925469475101361,male,"Morningstar, Inc."
