,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,ALB,2018 q4,1510,0.6009604082399705,Mr. Seth Goldstein,0.4434859601538073,male,"Morningstar, Inc."
1,CE,2018 q4,1510,0.5526063870808513,Mr. Seth Goldstein,0.5044832662928826,male,"Morningstar, Inc."
2,CF,2018 q4,1510,0.4700917358786382,Mr. Seth Goldstein,0.3079390283379914,male,"Morningstar, Inc."
3,DD,2018 q4,1510,0.578938780890688,Mr. Seth Goldstein,0.6907158468749605,male,"Morningstar, Inc."
4,ECL,2018 q4,1510,0.6390882118421377,Mr. Seth Goldstein,0.7815713520675012,male,"Morningstar, Inc."
5,EMN,2018 q4,1510,0.6426522530074782,Mr. Seth Goldstein,0.5118869440513578,male,"Morningstar, Inc."
6,FCX,2018 q4,1510,0.4817858304517556,Mr. Seth Goldstein,0.4883007550038059,male,"Morningstar, Inc."
7,FMC,2018 q4,1510,0.6177471217206474,Mr. Seth Goldstein,0.556987337364369,male,"Morningstar, Inc."
8,MOS,2018 q4,1510,0.5324891625087924,Mr. Seth Goldstein,0.3702901397094561,male,"Morningstar, Inc."
9,ALB,2018 q4,1510,0.6009604082399705,Mr. James M. Sheehan,0.337019306957656,male,SunTrust Robinson Humphrey Capital Markets
10,APD,2018 q4,1510,0.7541107523967773,Mr. James M. Sheehan,0.3758011866600285,male,SunTrust Robinson Humphrey Capital Markets
11,CE,2018 q4,1510,0.5526063870808513,Mr. James M. Sheehan,0.3271426400359257,male,SunTrust Robinson Humphrey Capital Markets
12,DD,2018 q4,1510,0.578938780890688,Mr. James M. Sheehan,0.2381491923684857,male,SunTrust Robinson Humphrey Capital Markets
13,EMN,2018 q4,1510,0.6426522530074782,Mr. James M. Sheehan,0.23767912530260007,male,SunTrust Robinson Humphrey Capital Markets
14,FMC,2018 q4,1510,0.6177471217206474,Mr. James M. Sheehan,0.19724110556911087,male,SunTrust Robinson Humphrey Capital Markets
15,LYB,2018 q4,1510,0.3946017189887845,Mr. James M. Sheehan,0.15502510718891654,male,SunTrust Robinson Humphrey Capital Markets
16,PPG,2018 q4,1510,0.6981634890235141,Mr. James M. Sheehan,0.3437290850841372,male,SunTrust Robinson Humphrey Capital Markets
17,ALB,2018 q4,1510,0.6009604082399705,Alexandre Falcao,0.33068118726104284,male,HSBC
18,ALB,2018 q4,1510,0.6009604082399705,"David L. Begleiter, CFA",0.2867822129912166,male,Deutsche Bank
19,CE,2018 q4,1510,0.5526063870808513,"David L. Begleiter, CFA",0.7497347114353377,male,Deutsche Bank
20,DD,2018 q4,1510,0.578938780890688,"David L. Begleiter, CFA",0.26444758448044703,male,Deutsche Bank
21,ECL,2018 q4,1510,0.6390882118421377,"David L. Begleiter, CFA",0.459411751526291,male,Deutsche Bank
22,EMN,2018 q4,1510,0.6426522530074782,"David L. Begleiter, CFA",0.660267820193087,male,Deutsche Bank
23,LIN,2018 q4,1510,0.6010703407676206,"David L. Begleiter, CFA",0.6372899537123149,male,Deutsche Bank
24,LYB,2018 q4,1510,0.3946017189887845,"David L. Begleiter, CFA",0.1987229989744279,male,Deutsche Bank
25,PPG,2018 q4,1510,0.6981634890235141,"David L. Begleiter, CFA",0.6950816991174138,male,Deutsche Bank
26,ALB,2018 q4,1510,0.6009604082399705,SADIF Research,0.9630353162958792,Not a person,Sadif Analytics Prime
27,APD,2018 q4,1510,0.7541107523967773,SADIF Research,0.9546546296931426,Not a person,Sadif Analytics Prime
28,EMN,2018 q4,1510,0.6426522530074782,SADIF Research,0.9792111394798886,Not a person,Sadif Analytics Prime
29,IP,2018 q4,1510,0.6505340818444042,SADIF Research,1.0,Not a person,Sadif Analytics Prime
30,MOS,2018 q4,1510,0.5324891625087924,SADIF Research,0.9581575863971913,Not a person,Sadif Analytics Prime
31,NEM,2018 q4,1510,0.6579692135947162,SADIF Research,0.9587085560046746,Not a person,Sadif Analytics Prime
32,ALB,2018 q4,1510,0.6009604082399705,Christopher B. Muir,0.6612177446739697,male,CFRA Equity Research
33,CE,2018 q4,1510,0.5526063870808513,Christopher B. Muir,0.48223682107211374,male,CFRA Equity Research
34,CF,2018 q4,1510,0.4700917358786382,Christopher B. Muir,0.4573427137087867,male,CFRA Equity Research
35,DD,2018 q4,1510,0.578938780890688,Christopher B. Muir,0.57848848646485,male,CFRA Equity Research
36,ECL,2018 q4,1510,0.6390882118421377,Christopher B. Muir,0.7997332658688441,male,CFRA Equity Research
37,EMN,2018 q4,1510,0.6426522530074782,Christopher B. Muir,0.5406860508582845,male,CFRA Equity Research
38,FMC,2018 q4,1510,0.6177471217206474,Christopher B. Muir,0.6565432379669525,male,CFRA Equity Research
39,LYB,2018 q4,1510,0.3946017189887845,Christopher B. Muir,0.5742821664462073,male,CFRA Equity Research
40,MOS,2018 q4,1510,0.5324891625087924,Christopher B. Muir,0.45923674892158606,male,CFRA Equity Research
41,PPG,2018 q4,1510,0.6981634890235141,Christopher B. Muir,0.7414646781506594,male,CFRA Equity Research
42,SHW,2018 q4,1510,0.6539684227181897,Christopher B. Muir,0.8036303879577151,male,CFRA Equity Research
43,APD,2018 q4,1510,0.7541107523967773,Mr. Keith Schoonmaker,0.6184046175399445,male,"Morningstar, Inc."
44,LIN,2018 q4,1510,0.6010703407676206,Mr. Keith Schoonmaker,0.623480370196982,male,"Morningstar, Inc."
45,APD,2018 q4,1510,0.7541107523967773,Mr. Christopher S. Parkinson,0.6178017422146372,male,Credit Suisse
46,CF,2018 q4,1510,0.4700917358786382,Mr. Christopher S. Parkinson,0.2943504039380364,male,Credit Suisse
47,DD,2018 q4,1510,0.578938780890688,Mr. Christopher S. Parkinson,0.21507798009277881,male,Credit Suisse
48,ECL,2018 q4,1510,0.6390882118421377,Mr. Christopher S. Parkinson,0.4298601271150907,male,Credit Suisse
49,FMC,2018 q4,1510,0.6177471217206474,Mr. Christopher S. Parkinson,0.3193540535995188,male,Credit Suisse
50,MOS,2018 q4,1510,0.5324891625087924,Mr. Christopher S. Parkinson,0.286935490443555,male,Credit Suisse
51,PPG,2018 q4,1510,0.6981634890235141,Mr. Christopher S. Parkinson,0.45918197916020975,male,Credit Suisse
52,SHW,2018 q4,1510,0.6539684227181897,Mr. Christopher S. Parkinson,0.45430096452816104,male,Credit Suisse
53,APD,2018 q4,1510,0.7541107523967773,Krzysztof Smalec,0.5935639775354401,male,"Morningstar, Inc."
54,LIN,2018 q4,1510,0.6010703407676206,Krzysztof Smalec,0.5791935984714788,male,"Morningstar, Inc."
55,APD,2018 q4,1510,0.7541107523967773,"Steve Byrne, CFA",0.40798084735426965,male,BofA Global Research
56,CF,2018 q4,1510,0.4700917358786382,"Steve Byrne, CFA",0.2764030638740274,male,BofA Global Research
57,DD,2018 q4,1510,0.578938780890688,"Steve Byrne, CFA",0.2193997545418731,male,BofA Global Research
58,LIN,2018 q4,1510,0.6010703407676206,"Steve Byrne, CFA",0.5828322840921111,male,BofA Global Research
59,LYB,2018 q4,1510,0.3946017189887845,"Steve Byrne, CFA",0.21987248759501443,male,BofA Global Research
60,MOS,2018 q4,1510,0.5324891625087924,"Steve Byrne, CFA",0.3035484724778936,male,BofA Global Research
61,PPG,2018 q4,1510,0.6981634890235141,"Steve Byrne, CFA",0.4214606307017458,male,BofA Global Research
62,SHW,2018 q4,1510,0.6539684227181897,"Steve Byrne, CFA",0.3898607129592032,male,BofA Global Research
63,APD,2018 q4,1510,0.7541107523967773,Duffy Fischer,0.6404254334013678,male,Barclays
64,CE,2018 q4,1510,0.5526063870808513,Duffy Fischer,0.5592262624973072,male,Barclays
65,DD,2018 q4,1510,0.578938780890688,Duffy Fischer,0.42534237692860266,male,Barclays
66,EMN,2018 q4,1510,0.6426522530074782,Duffy Fischer,0.6990574100608707,male,Barclays
67,SHW,2018 q4,1510,0.6539684227181897,Duffy Fischer,0.552487813986381,male,Barclays
68,APD,2018 q4,1510,0.7541107523967773,Matthew Miller,0.7731417930315321,male,CFRA Equity Research
69,FCX,2018 q4,1510,0.4817858304517556,Matthew Miller,0.49564023825238873,male,CFRA Equity Research
70,IFF,2018 q4,1510,0.7565944661268195,Matthew Miller,0.7954744496214085,male,CFRA Equity Research
71,IP,2018 q4,1510,0.6505340818444042,Matthew Miller,0.46502742586507867,male,CFRA Equity Research
72,MLM,2018 q4,1510,0.6333186589325948,Matthew Miller,0.6591256431701672,male,CFRA Equity Research
73,NEM,2018 q4,1510,0.6579692135947162,Matthew Miller,0.4866401549367919,male,CFRA Equity Research
74,NUE,2018 q4,1510,0.614566456068961,Matthew Miller,0.5718933705795725,male,CFRA Equity Research
75,PKG,2018 q4,1510,0.4552177352143575,Matthew Miller,0.43276627727931843,male,CFRA Equity Research
76,SEE,2018 q4,1510,0.6722949847912613,Matthew Miller,0.7250940645092652,male,CFRA Equity Research
77,VMC,2018 q4,1510,0.7612074021063773,Matthew Miller,0.770557590445002,male,CFRA Equity Research
78,WRK,2018 q4,1510,0.6381889433512151,Matthew Miller,0.572731329966238,male,CFRA Equity Research
79,APD,2018 q4,1510,0.7541107523967773,Mr. Donald D. Carson,0.6861757617089338,male,Susquehanna Financial Group LLLP
80,CF,2018 q4,1510,0.4700917358786382,Mr. Donald D. Carson,0.30270906798559694,male,Susquehanna Financial Group LLLP
81,DD,2018 q4,1510,0.578938780890688,Mr. Donald D. Carson,0.7387452804042447,male,Susquehanna Financial Group LLLP
82,FMC,2018 q4,1510,0.6177471217206474,Mr. Donald D. Carson,0.22985764731784633,male,Susquehanna Financial Group LLLP
83,LYB,2018 q4,1510,0.3946017189887845,Mr. Donald D. Carson,0.5290390469786665,male,Susquehanna Financial Group LLLP
84,MOS,2018 q4,1510,0.5324891625087924,Mr. Donald D. Carson,0.5496537895339544,male,Susquehanna Financial Group LLLP
85,PPG,2018 q4,1510,0.6981634890235141,Mr. Donald D. Carson,0.6685112424316481,male,Susquehanna Financial Group LLLP
86,CE,2018 q4,1510,0.5526063870808513,Mr. Arun S. Viswanathan,0.25809748102540603,male,RBC Capital Markets
87,DD,2018 q4,1510,0.578938780890688,Mr. Arun S. Viswanathan,0.17507566345758968,male,RBC Capital Markets
88,FMC,2018 q4,1510,0.6177471217206474,Mr. Arun S. Viswanathan,0.31267378248823935,male,RBC Capital Markets
89,LYB,2018 q4,1510,0.3946017189887845,Mr. Arun S. Viswanathan,0.18788406463666932,male,RBC Capital Markets
90,PPG,2018 q4,1510,0.6981634890235141,Mr. Arun S. Viswanathan,0.5780733685129338,male,RBC Capital Markets
91,SEE,2018 q4,1510,0.6722949847912613,Mr. Arun S. Viswanathan,0.36583507785743263,male,RBC Capital Markets
92,CE,2018 q4,1510,0.5526063870808513,Charles N. Neivert,0.22947827249551694,male,Cowen and Company
93,CF,2018 q4,1510,0.4700917358786382,Charles N. Neivert,0.1428955746753324,male,Cowen and Company
94,EMN,2018 q4,1510,0.6426522530074782,Charles N. Neivert,0.263824713030981,male,Cowen and Company
95,CF,2018 q4,1510,0.4700917358786382,"Ben Isaacson, MBA",0.7226975134438198,male,Scotiabank GBM
96,CF,2018 q4,1510,0.4700917358786382,Mr. Vincent Andrews,0.1670410931425532,male,Morgan Stanley
97,MOS,2018 q4,1510,0.5324891625087924,Mr. Vincent Andrews,0.25219548076291315,male,Morgan Stanley
98,PPG,2018 q4,1510,0.6981634890235141,Mr. Vincent Andrews,0.5211162636931669,male,Morgan Stanley
99,CF,2018 q4,1510,0.4700917358786382,Mr. Mark Connelly,0.3698697554323362,male,Stephens Inc.
