,Ticker,Quarter,Industry,InfoDiversity,Analyst,InfoContribution,GenderAnalyst,Contributor
0,APTV,2019 q4,2510,0.6667987713039063,Mr. Dan Levy,0.4809472914675067,male,Credit Suisse
1,BWA,2019 q4,2510,0.8308420265038616,Mr. Dan Levy,0.7432292872296173,male,Credit Suisse
2,F,2019 q4,2510,0.5673222524078277,Mr. Dan Levy,0.4316721947873642,male,Credit Suisse
3,GM,2019 q4,2510,0.6654997454692277,Mr. Dan Levy,0.5720490420130043,male,Credit Suisse
4,APTV,2019 q4,2510,0.6667987713039063,Mr. David L. Kelley,0.7502848129286591,male,Jefferies
5,APTV,2019 q4,2510,0.6667987713039063,Mr. Ali-Ahmad Faghri,0.518065265950582,male,Guggenheim Securities LLC
6,APTV,2019 q4,2510,0.6667987713039063,Richard Hilgert,0.31596638335513216,male,"Morningstar, Inc."
7,BWA,2019 q4,2510,0.8308420265038616,Richard Hilgert,0.6452108101256817,male,"Morningstar, Inc."
8,APTV,2019 q4,2510,0.6667987713039063,"Mr. John J. Murphy, CFA",0.8892678838578787,male,BofA Global Research
9,F,2019 q4,2510,0.5673222524078277,"Mr. John J. Murphy, CFA",0.31092523400087735,male,BofA Global Research
10,GM,2019 q4,2510,0.6654997454692277,"Mr. John J. Murphy, CFA",0.4318300096712557,male,BofA Global Research
11,APTV,2019 q4,2510,0.6667987713039063,Mr. Rod A. Lache,0.4033453450522869,male,Wolfe Research
12,BWA,2019 q4,2510,0.8308420265038616,Mr. Rod A. Lache,0.9207764790536118,male,Wolfe Research
13,F,2019 q4,2510,0.5673222524078277,Mr. Rod A. Lache,0.7815589943497094,male,Wolfe Research
14,APTV,2019 q4,2510,0.6667987713039063,Mr. Luis J. Amadeo,0.5835561119602883,male,"Oppenheimer & Co., Inc."
15,BWA,2019 q4,2510,0.8308420265038616,Mr. Luis J. Amadeo,0.8626397409882499,male,"Oppenheimer & Co., Inc."
16,APTV,2019 q4,2510,0.6667987713039063,SADIF Research,0.2995779346877914,Not a person,Sadif Analytics Prime
17,F,2019 q4,2510,0.5673222524078277,SADIF Research,0.4194472435513767,Not a person,Sadif Analytics Prime
18,GM,2019 q4,2510,0.6654997454692277,SADIF Research,0.3319736399910033,Not a person,Sadif Analytics Prime
19,APTV,2019 q4,2510,0.6667987713039063,Glenn E. Chin,0.5439085575417282,male,The Buckingham Research Group
20,F,2019 q4,2510,0.5673222524078277,Glenn E. Chin,0.4593423533188139,male,The Buckingham Research Group
21,GM,2019 q4,2510,0.6654997454692277,Glenn E. Chin,0.3686621450358533,male,The Buckingham Research Group
22,APTV,2019 q4,2510,0.6667987713039063,Garrett Nelson,0.5839304074138743,male,CFRA Equity Research
23,F,2019 q4,2510,0.5673222524078277,Garrett Nelson,0.3563534550131703,male,CFRA Equity Research
24,GM,2019 q4,2510,0.6654997454692277,Garrett Nelson,0.7174323114207557,male,CFRA Equity Research
25,HOG,2019 q4,2510,0.8068155610579758,Garrett Nelson,0.6054032288423554,male,CFRA Equity Research
26,APTV,2019 q4,2510,0.6667987713039063,Mr. Chris McNally,0.357795317367883,male,EVERCORE ISI
27,APTV,2019 q4,2510,0.6667987713039063,Brian A. Johnson,0.34798333970719436,male,Barclays
28,F,2019 q4,2510,0.5673222524078277,Brian A. Johnson,0.31559974266107166,male,Barclays
29,GM,2019 q4,2510,0.6654997454692277,Brian A. Johnson,0.6247039269922446,male,Barclays
30,F,2019 q4,2510,0.5673222524078277,"Mr. Emmanuel Rosner, CFA",0.5708171935236723,male,Deutsche Bank
31,GM,2019 q4,2510,0.6654997454692277,"Mr. Emmanuel Rosner, CFA",0.41314190164100245,male,Deutsche Bank
32,F,2019 q4,2510,0.5673222524078277,Mr. David Whiston,0.24917236785451685,male,"Morningstar, Inc."
33,GM,2019 q4,2510,0.6654997454692277,Mr. David Whiston,0.31120345806548155,male,"Morningstar, Inc."
34,F,2019 q4,2510,0.5673222524078277,Douglas Karson,0.4502461983453265,male,BofA Global Research
35,F,2019 q4,2510,0.5673222524078277,"Mr. Joseph Spak, CFA",0.4136433621306331,male,RBC Capital Markets
36,GM,2019 q4,2510,0.6654997454692277,"Mr. Joseph Spak, CFA",0.9997674652167299,male,RBC Capital Markets
37,HOG,2019 q4,2510,0.8068155610579758,"Mr. Joseph Spak, CFA",0.6976564735904816,male,RBC Capital Markets
38,F,2019 q4,2510,0.5673222524078277,Acquisdata Research Team,0.20420981237702146,Not a person,Acquisdata
39,F,2019 q4,2510,0.5673222524078277,Mr. Steven L. Dyer,0.3154960376845732,male,Craig Hallum
40,GM,2019 q4,2510,0.6654997454692277,Mr. Steven L. Dyer,0.49330049536539783,male,Craig Hallum
41,F,2019 q4,2510,0.5673222524078277,"Joseph C. Amaturo, CFA",0.3298082837065498,male,The Buckingham Research Group
42,GM,2019 q4,2510,0.6654997454692277,"Joseph C. Amaturo, CFA",0.3923379686896898,male,The Buckingham Research Group
43,GM,2019 q4,2510,0.6654997454692277,"Mr. Adam Jonas, CFA",0.1789320156174201,male,Morgan Stanley
44,HOG,2019 q4,2510,0.8068155610579758,"Mr. Adam Jonas, CFA",0.7766114399814971,male,Morgan Stanley
45,GM,2019 q4,2510,0.6654997454692277,Mr. Philippe Houchois,0.6411090481218342,male,Jefferies
46,HOG,2019 q4,2510,0.8068155610579758,"Mr. James L. Hardiman, CFA",0.9201696301510907,male,Wedbush Securities Inc.
47,HOG,2019 q4,2510,0.8068155610579758,"Timothy A. Conder, CPA",0.6622669139785639,male,"Wells Fargo Securities, LLC"
48,HOG,2019 q4,2510,0.8068155610579758,Felicia R. R. Hendrix,0.560393561135032,female,Barclays
49,HOG,2019 q4,2510,0.8068155610579758,"Ms. Jaime M. M. Katz, CFA",0.8168141729296753,female,"Morningstar, Inc."
